seedResourceAcquisitionFitness,turn,seedPopulation,error
1.3,48,47.065,8.902314960210198
1.3,49,47.22,8.927564995793091
1.3,50,47.27,8.93721292017613
1.35,0,1.0,0.0
1.35,1,1.415,0.20709211058590804
1.35,2,1.745,0.3412354113890397
1.35,3,2.46,0.5445427429438758
1.35,4,3.33,0.77470180682226
1.35,5,4.28,1.0390143195158377
1.35,6,5.545,1.39782326160093
1.35,7,7.105,1.794541427182887
1.35,8,8.855,2.209319703689622
1.35,9,11.155,2.753433664768014
1.35,10,13.31,3.320791965211164
1.35,11,16.455,3.963129041608333
1.35,12,18.895,4.450351667840231
1.35,13,21.905,5.093033942003366
1.35,14,24.865,5.702646334162562
1.35,15,27.765,6.237283764254215
1.35,16,29.965,6.51400640667357
1.35,17,32.34,6.98088805328992
1.35,18,34.225,7.1828337797768995
1.35,19,36.765,7.617794213369983
1.35,20,37.955,7.7893456654982
1.35,21,39.29,8.008729060938556
1.35,22,40.435,8.15850124344258
1.35,23,41.815,8.33035059317045
1.35,24,43.385,8.60116186036334
1.35,25,43.335,8.558273343214957
1.35,26,44.21,8.722037014813608
1.35,27,44.41,8.739052600686897
1.35,28,46.03,9.011646772934718
1.35,29,45.515,8.914471821163758
1.35,30,45.295,8.873008473964717
1.35,31,45.63,8.909229265958096
1.35,32,45.195,8.841694908145236
1.35,33,46.07,8.99751057668528
1.35,34,46.065,9.012312463584784
1.35,35,45.815,8.946253765069656
1.35,36,45.8,8.946437736166232
1.35,37,45.655,8.923912155604917
1.35,38,45.545,8.899514427075346
1.35,39,45.79,8.94377843201751
1.35,40,45.64,8.91979302482794
1.35,41,45.835,8.953124272427083
1.35,42,45.805,8.947989404330585
1.35,43,45.865,8.959548901538945
1.35,44,45.9,8.96564373348965
1.35,45,45.79,8.94333331398871
1.35,46,45.815,8.951184310124361
1.35,47,45.815,8.951184310124361
1.35,48,45.815,8.951184310124361
1.35,49,45.815,8.951184310124361
1.35,50,45.815,8.951184310124361
1.4,0,1.0,0.0
1.4,1,1.48,0.22746191702076946
1.4,2,1.865,0.3650403182839328
1.4,3,2.65,0.6083948505119605
1.4,4,3.575,0.8871549330552488
1.4,5,4.655,1.181460417263637
