seedResourceAcquisitionFitness,turn,seedPopulation,error
1.1,46,268.8,52.383565911475614
1.1,47,268.75,52.39413303006555
1.1,48,268.72,52.40256246349563
1.1,49,268.71,52.40526199377615
1.1,50,269.01,52.33119747269566
1.15,0,1.0,0.0
1.15,1,1.89,0.30671843587544556
1.15,2,3.69,0.7282767326978354
1.15,3,6.99,1.513174207457892
1.15,4,12.99,3.1409267933464857
1.15,5,23.12,5.962505725095912
1.15,6,40.86,10.359831753349354
1.15,7,66.79,16.475375332435917
1.15,8,100.31,23.738966258390548
1.15,9,140.91,32.086254732957784
1.15,10,182.51,40.10797820238312
1.15,11,218.16,45.7961257762195
1.15,12,243.46,49.43529049310118
1.15,13,256.97,51.00043741784583
1.15,14,265.02,52.08303896016065
1.15,15,268.15,52.027497495122645
1.15,16,269.74,51.744463089701924
1.15,17,270.81,51.49575235025722
1.15,18,271.67,51.345408994305984
1.15,19,271.33,51.41114032515131
1.15,20,272.29,51.20330513134002
1.15,21,272.4,51.20082628106752
1.15,22,272.97,51.059258428381185
1.15,23,273.1,51.008633323168056
1.15,24,272.98,51.0342447061673
1.15,25,273.39,50.94171051299469
1.15,26,273.7,50.87582397730074
1.15,27,273.67,50.866440574628996
1.15,28,273.83,50.82473561982286
1.15,29,274.07,50.764769812949
1.15,30,274.06,50.765509105562444
1.15,31,274.1,50.75260349503776
1.15,32,274.47,50.66140203299378
1.15,33,274.46,50.65730218810637
1.15,34,274.51,50.63952659299906
1.15,35,274.62,50.60828502382586
1.15,36,274.74,50.57798907139778
1.15,37,274.79,50.56272609629309
1.15,38,274.81,50.54574848432003
1.15,39,275.19,50.45821069587805
1.15,40,274.93,50.51358563410503
1.15,41,275.06,50.481744081253794
1.15,42,275.25,50.42862506062505
1.15,43,275.42,50.375163560278224
1.15,44,275.39,50.38639339043638
1.15,45,275.09,50.46222632934473
1.15,46,275.34,50.394745510351584
1.15,47,275.36,50.38696784257465
1.15,48,275.74,50.28798113239236
1.15,49,275.43,50.37104186654278
1.15,50,275.69,50.301503950662465
1.2,0,1.0,0.0
1.2,1,1.9,0.3615348711260338
1.2,2,3.49,0.8262712783030048
1.2,3,6.58,1.704405054030504
1.2,4,12.44,3.46739920897968
1.2,5,22.9,6.304891434885963
1.2,6,40.42,10.82578982972587
1.2,7,66.31,16.93970381524405
1.2,8,100.83,24.477943509542712
1.2,9,141.78,32.47203618892445
1.2,10,182.23,39.66778557552098
1.2,11,217.36,44.87447323396219
1.2,12,242.22,47.9151551983868
1.2,13,261.08,50.15719321015271
1.2,14,267.7,50.77465288544772
1.2,15,272.69,51.12001368340162
1.2,16,274.41,50.87041928767735
1.2,17,275.35,50.77381493534631
1.2,18,276.81,50.63160175690868
1.2,19,277.14,50.53886085939524
1.2,20,277.14,50.543849369700695
1.2,21,277.31,50.49257124144734
1.2,22,277.16,50.497209897648304
1.2,23,277.84,50.35776882082473
1.2,24,277.64,50.40342500781975
1.2,25,277.64,50.40030514213203
1.2,26,277.65,50.40297553527989
1.2,27,277.64,50.39975223439666
1.2,28,278.53,50.175666634939375
1.2,29,278.03,50.29760950904142
1.2,30,278.36,50.215031145363156
1.2,31,278.14,50.26919492702871
1.2,32,278.01,50.30278075113449
1.2,33,278.05,50.297054417075174
1.2,34,278.17,50.260641882654
1.2,35,278.09,50.281403262103254
1.2,36,278.21,50.2501227701309
1.2,37,278.17,50.260641882654
1.2,38,278.46,50.18920504092671
1.2,39,278.27,50.2356039504794
1.2,40,278.41,50.20021160459018
1.2,41,278.59,50.15823048916283
1.2,42,278.58,50.16065226662053
1.2,43,278.36,50.217211237957315
1.2,44,278.51,50.17796797142603
1.2,45,278.48,50.185583486945745
1.2,46,278.61,50.153425874160234
1.2,47,278.66,50.14164157273734
1.2,48,278.55,50.16799545623189
1.2,49,278.54,50.17046913218422
1.2,50,278.62,50.15104304034591
1.25,0,1.0,0.0
1.25,1,1.75,0.3055915078325535
1.25,2,3.46,0.7618709170481175
1.25,3,6.66,1.6234755512098324
1.25,4,13.06,3.4494615098582866
1.25,5,24.86,6.714473095003477
1.25,6,45.61,12.0893356316692
1.25,7,74.91,19.151740207651365
1.25,8,112.12,27.62682973333574
1.25,9,152.7,36.21288969288395
1.25,10,191.48,43.632426864684675
1.25,11,224.88,49.33589735019851
1.25,12,243.16,51.67806570642327
1.25,13,254.9,53.07745512629211
1.25,14,260.34,53.91846615762577
1.25,15,263.7,53.67927533443316
1.25,16,265.55,53.5986738390701
1.25,17,267.65,53.355956938901016
1.25,18,266.89,53.47886770742747
1.25,19,267.98,53.248403876383605
1.25,20,267.86,53.26682993079481
1.25,21,268.89,53.073872326932076
1.25,22,268.6,53.11880910509731
1.25,23,269.32,52.96185525428325
1.25,24,269.03,53.01413975205682
1.25,25,269.21,52.96849971173219
1.25,26,269.66,52.864956889815744
1.25,27,269.54,52.878951524212056
1.25,28,269.94,52.78418948076626
1.25,29,269.82,52.81179270614683
1.25,30,270.39,52.67935427630965
1.25,31,270.27,52.70509140130838
1.25,32,270.0,52.763246208419105
1.25,33,270.23,52.71217837442828
1.25,34,270.41,52.674306010211524
1.25,35,270.17,52.726213559437724
1.25,36,270.33,52.69096748228168
1.25,37,270.4,52.676849159920835
1.25,38,270.33,52.69422873392111
1.25,39,270.47,52.66188934856248
1.25,40,270.46,52.66411889185693
1.25,41,270.46,52.66411889185693
1.25,42,270.46,52.66411889185693
1.25,43,270.46,52.66411889185693
1.25,44,270.46,52.66411889185693
1.25,45,270.46,52.66411889185693
1.25,46,270.46,52.66411889185693
1.25,47,270.46,52.66411889185693
1.25,48,270.46,52.66411889185693
1.25,49,270.46,52.66411889185693
1.25,50,270.46,52.66411889185693
1.3,0,1.0,0.0
1.3,1,2.04,0.3454301383388043
1.3,2,4.07,0.8568301720875602
1.3,3,8.08,1.8587709693314514
1.3,4,16.43,4.074576868191583
1.3,5,31.65,8.049981722966773
1.3,6,55.9,13.750321123195668
1.3,7,89.68,21.479663722343844
1.3,8,129.53,30.173384853075405
1.3,9,172.53,38.81133664441509
1.3,10,211.21,46.51309133717399
1.3,11,235.95,50.51685768832331
1.3,12,247.46,51.59833495745514
1.3,13,251.74,51.437352131258166
1.3,14,254.23,51.17679356693222
