seedResourceAcquisitionFitness,seedMutationProbability,turn,seedPopulation,error
1.8,0.4,22,28.156666666666666,4.7705669032060065
1.8,0.4,23,28.111666666666668,4.768681699535438
1.8,0.4,24,28.545,4.822377738661707
1.8,0.4,25,28.811666666666667,4.862263446144524
1.8,0.4,26,28.81833333333333,4.862398915689035
1.8,0.4,27,29.09,4.896562640709934
1.8,0.4,28,29.195,4.920568500180941
1.8,0.4,29,29.576666666666668,4.96848486743761
1.8,0.4,30,29.515,4.962114265641233
1.8,0.4,31,29.391666666666666,4.948134939384296
1.8,0.4,32,29.575,4.97744277620054
1.8,0.4,33,29.621666666666666,4.992011237678227
1.8,0.4,34,29.533333333333335,4.987697570300359
1.8,0.4,35,29.68,5.008110694768767
1.8,0.4,36,29.815,5.029919055758139
1.8,0.4,37,29.745,5.010898364609947
1.8,0.4,38,29.78,5.0128160478486095
1.8,0.4,39,29.7,5.010541609930755
1.8,0.4,40,29.813333333333333,5.02502621598865
1.8,0.4,41,29.815,5.024427193575772
1.8,0.4,42,29.69333333333333,5.023306652614657
1.8,0.4,43,29.846666666666668,5.040828942875272
1.8,0.4,44,29.80666666666667,5.038765840060439
1.8,0.4,45,29.755,5.030480588704151
1.8,0.4,46,29.80666666666667,5.034587019615426
1.8,0.4,47,29.781666666666666,5.032724873255571
1.8,0.4,48,29.731666666666666,5.029419488136366
1.8,0.4,49,29.755,5.032308452502566
1.8,0.4,50,29.85,5.043520295126147
1.8,0.5,0,1.0,0.0
1.8,0.5,1,1.95,0.15469875059132443
1.8,0.5,2,3.0933333333333333,0.3464033770177677
1.8,0.5,3,4.128333333333333,0.5637660493257277
1.8,0.5,4,5.053333333333334,0.8141899641529671
1.8,0.5,5,5.961666666666667,1.0648156126561377
1.8,0.5,6,6.855,1.3032807163135427
1.8,0.5,7,7.601666666666667,1.55321651674749
1.8,0.5,8,8.241666666666667,1.7766997134062947
1.8,0.5,9,9.056666666666667,2.027301455264838
1.8,0.5,10,9.648333333333333,2.2046333524138753
1.8,0.5,11,10.106666666666667,2.333007113353764
1.8,0.5,12,10.511666666666667,2.4722815020406106
1.8,0.5,13,11.096666666666666,2.646853118477459
1.8,0.5,14,11.5,2.7494757472144045
1.8,0.5,15,11.845,2.839307693030902
1.8,0.5,16,12.266666666666667,2.958989427335297
1.8,0.5,17,12.935,3.1404597566597534
1.8,0.5,18,12.905,3.1272483910295996
1.8,0.5,19,13.226666666666667,3.2192919558892648
1.8,0.5,20,13.335,3.2604276252478943
1.8,0.5,21,13.206666666666667,3.227774308941134
1.8,0.5,22,13.738333333333333,3.391415977780035
1.8,0.5,23,13.493333333333334,3.3591947429559657
1.8,0.5,24,13.615,3.4091567247599954
1.8,0.5,25,13.683333333333334,3.422063077738006
1.8,0.5,26,13.848333333333333,3.4884322643002896
1.8,0.5,27,13.676666666666666,3.4873915064352765
1.8,0.5,28,13.495,3.449976918200747
1.8,0.5,29,13.486666666666666,3.4632849935012313
1.8,0.5,30,13.286666666666667,3.4336036855972925
1.8,0.5,31,13.201666666666666,3.44357272568511
