seedResourceAcquisitionFitness,resilience,trials,seedSurvivalChance,error
3.25,0.0,20,1.0,0.0
3.25,0.4,20,1.0,0.0
3.25,0.8,20,1.0,0.0
3.25,0.9,20,1.0,0.0
3.25,0.99,20,1.0,0.0
3.3,0.0,20,1.0,0.0
3.3,0.4,20,1.0,0.0
3.3,0.8,20,0.95,0.13942470621580205
3.3,0.9,20,1.0,0.0
3.3,0.99,20,1.0,0.0
3.35,0.0,20,0.95,0.13942470621580205
3.35,0.4,20,0.95,0.13942470621580205
3.35,0.8,20,1.0,0.0
3.35,0.9,20,1.0,0.0
3.35,0.99,20,1.0,0.0
3.4,0.0,20,0.95,0.13942470621580205
3.4,0.4,20,1.0,0.0
3.4,0.8,20,1.0,0.0
3.4,0.9,20,1.0,0.0
3.4,0.99,20,1.0,0.0
3.45,0.0,20,1.0,0.0
3.45,0.4,20,1.0,0.0
3.45,0.8,20,1.0,0.0
3.45,0.9,20,1.0,0.0
3.45,0.99,20,1.0,0.0
3.5,0.0,20,1.0,0.0
3.5,0.4,20,1.0,0.0
3.5,0.8,20,1.0,0.0
3.5,0.9,20,1.0,0.0
3.5,0.99,20,1.0,0.0
3.55,0.0,20,1.0,0.0
3.55,0.4,20,1.0,0.0
3.55,0.8,20,1.0,0.0
3.55,0.9,20,1.0,0.0
3.55,0.99,20,1.0,0.0
3.6,0.0,20,1.0,0.0
3.6,0.4,20,1.0,0.0
3.6,0.8,20,1.0,0.0
3.6,0.9,20,1.0,0.0
3.6,0.99,20,1.0,0.0
3.65,0.0,20,1.0,0.0
3.65,0.4,20,0.9,0.19191732777711412
3.65,0.8,20,1.0,0.0
3.65,0.9,20,1.0,0.0
3.65,0.99,20,1.0,0.0
3.7,0.0,20,0.9,0.19191732777711412
3.7,0.4,20,1.0,0.0
3.7,0.8,20,1.0,0.0
3.7,0.9,20,1.0,0.0
3.7,0.99,20,1.0,0.0
3.75,0.0,20,0.9,0.19191732777711412
3.75,0.4,20,1.0,0.0
3.75,0.8,20,1.0,0.0
3.75,0.9,20,1.0,0.0
3.75,0.99,20,1.0,0.0
3.8,0.0,20,1.0,0.0
3.8,0.4,20,1.0,0.0
3.8,0.8,20,1.0,0.0
3.8,0.9,20,1.0,0.0
3.8,0.99,20,1.0,0.0
3.85,0.0,20,0.95,0.13942470621580205
3.85,0.4,20,0.9,0.19191732777711412
3.85,0.8,20,1.0,0.0
3.85,0.9,20,1.0,0.0
3.85,0.99,20,1.0,0.0
3.9,0.0,20,0.95,0.13942470621580205
3.9,0.4,20,0.95,0.13942470621580205
3.9,0.8,20,1.0,0.0
3.9,0.9,20,1.0,0.0
3.9,0.99,20,1.0,0.0
3.95,0.0,20,1.0,0.0
3.95,0.4,20,1.0,0.0
3.95,0.8,20,1.0,0.0
3.95,0.9,20,1.0,0.0
3.95,0.99,20,1.0,0.0
4.0,0.0,20,1.0,0.0
4.0,0.4,20,0.9,0.19191732777711412
4.0,0.8,20,1.0,0.0
4.0,0.9,20,1.0,0.0
4.0,0.99,20,1.0,0.0
