lambda,turn,seedPopulation,error
1.1,40,14.8472,0.8748845284782156
1.1,41,15.0812,0.8840069817380041
1.1,42,15.2929,0.8919216938006436
1.1,43,15.4595,0.8990593215890179
1.1,44,15.6257,0.905661802728936
1.1,45,15.7682,0.9107536040745856
1.1,46,15.9108,0.9159534710639843
1.1,47,16.0382,0.9204288888881145
1.1,48,16.1701,0.9253175402104823
1.1,49,16.2798,0.9294354963869527
1.15,0,1.0,0.0
1.15,1,1.1339,0.027619939005226746
1.15,2,1.2765,0.0429387557938401
1.15,3,1.4738,0.05866851205401047
1.15,4,1.6964,0.07494303112047751
1.15,5,1.9212,0.09236993758635359
1.15,6,2.1933,0.11288404076814951
1.15,7,2.5312,0.1370201413600607
1.15,8,2.9368,0.1663184194155356
1.15,9,3.3675,0.19514766317949617
1.15,10,3.8439,0.22685165443882616
1.15,11,4.4222,0.2660854700325288
1.15,12,5.0879,0.3110919103334542
1.15,13,5.8063,0.3579459189833303
1.15,14,6.6174,0.4078501919205735
1.15,15,7.5097,0.45989865549468156
1.15,16,8.483,0.5131443187692604
1.15,17,9.4799,0.5663490106077447
1.15,18,10.508,0.6173287215190317
1.15,19,11.6071,0.6676224237072592
1.15,20,12.6812,0.7143101931860443
1.15,21,13.6422,0.7544186640807258
1.15,22,14.5929,0.7916396273328719
1.15,23,15.5043,0.8277281406525443
1.15,24,16.3887,0.8606694167374496
1.15,25,17.1747,0.8883489614173001
1.15,26,17.897,0.9137982322537397
1.15,27,18.5749,0.9360677771945163
1.15,28,19.2153,0.9566192901935828
1.15,29,19.7629,0.9743600928066876
1.15,30,20.2319,0.9891351290353718
1.15,31,20.6708,1.0028386044825268
1.15,32,21.0298,1.0137120220569926
1.15,33,21.3383,1.0226631622145028
1.15,34,21.6098,1.030550689994545
1.15,35,21.8698,1.037923329583041
1.15,36,22.1133,1.0449716508861648
1.15,37,22.3072,1.0507717433551704
1.15,38,22.474,1.0553293443921703
1.15,39,22.6034,1.058687812797583
1.15,40,22.725,1.0619787716648368
1.15,41,22.8379,1.0653810678390307
1.15,42,22.9433,1.0680581970191554
1.15,43,23.0283,1.0703005938904369
1.15,44,23.1004,1.0722868694590062
1.15,45,23.1697,1.073995820316263
1.15,46,23.2283,1.075469527979969
1.15,47,23.2812,1.076927871460768
1.15,48,23.3257,1.0782193229703232
1.15,49,23.3579,1.0791934814319077
1.2,0,1.0,0.0
1.2,1,1.1962,0.028142695255899186
1.2,2,1.4386,0.046131298128720966
1.2,3,1.7272,0.06421300240633343
1.2,4,2.0748,0.08556486600393631
1.2,5,2.4872,0.11000521126985152
1.2,6,2.9783,0.13890105270429576
1.2,7,3.5886,0.1740352545771069
1.2,8,4.2941,0.2148729650723178
1.2,9,5.1962,0.26640888062717494
1.2,10,6.1872,0.32023800980556594
1.2,11,7.4363,0.386903402635177
1.2,12,8.838,0.4608410987938196
1.2,13,10.4356,0.5375830751494295
1.2,14,12.1996,0.6166795511562775
1.2,15,14.0393,0.6936402496183884
1.2,16,15.9488,0.7674372841187509
1.2,17,17.7126,0.8293503179764912
1.2,18,19.4197,0.885359165094119
1.2,19,21.0451,0.9340576717799003
1.2,20,22.4701,0.9757241082210548
1.2,21,23.7383,1.0106128364744151
1.2,22,24.8923,1.0398162214550446
1.2,23,25.8278,1.0628610677688712
1.2,24,26.6234,1.0817014668036222
1.2,25,27.3866,1.0993319416821237
1.2,26,28.0105,1.1136059296076901
1.2,27,28.5847,1.1263667791594294
1.2,28,29.0468,1.1366518058556956
1.2,29,29.4014,1.1439676633728517
1.2,30,29.7378,1.1513388939563391
1.2,31,30.0219,1.157628648615411
1.2,32,30.2497,1.1623795979196316
1.2,33,30.4339,1.1661562536709091
1.2,34,30.5952,1.1692735715233233
1.2,35,30.7402,1.1721228825085177
1.2,36,30.8725,1.17504715321774
1.2,37,30.9718,1.177464742479387
1.2,38,31.0403,1.1789371429893727
1.2,39,31.0972,1.1800789551276587
1.2,40,31.1378,1.180839833079336
1.2,41,31.1772,1.1814434713797937
1.2,42,31.2109,1.1820195867664758
1.2,43,31.2425,1.1824739633920203
1.2,44,31.2744,1.1830625852955237
1.2,45,31.3015,1.1835831096321847
1.2,46,31.3178,1.183994447250143
1.2,47,31.3383,1.1843968595062435
1.2,48,31.3529,1.1846529259791119
1.2,49,31.3669,1.1850495921943107
1.25,0,1.0,0.0
1.25,1,1.2606,0.028962765346819186
1.25,2,1.5785,0.0480862403624005
1.25,3,1.9799,0.07006395854934278
1.25,4,2.5022,0.09842632784876804
1.25,5,3.1064,0.13060871716433153
1.25,6,3.8764,0.1710663356372839
1.25,7,4.7917,0.21782518607686985
1.25,8,5.9768,0.279017679800166
1.25,9,7.4591,0.35328823147296085
1.25,10,9.2781,0.4428065297880348
1.25,11,11.3906,0.5376925253521154
1.25,12,13.8011,0.6357048294024317
1.25,13,16.3582,0.7290822359932996
1.25,14,19.0398,0.8180837987937295
1.25,15,21.6059,0.8952901569401952
1.25,16,24.0288,0.9615335735295432
1.25,17,26.233,1.0170598354448295
1.25,18,28.1983,1.062782481297976
1.25,19,29.8221,1.098796566153343
1.25,20,31.1658,1.1272013595698915
1.25,21,32.2808,1.1488707932542468
1.25,22,33.1951,1.1663688540071178
1.25,23,33.9527,1.1806000130509346
1.25,24,34.551,1.1912140325408913
1.25,25,35.0362,1.1997844293298172
1.25,26,35.4212,1.2066234734994055
1.25,27,35.7319,1.2119094900549925
1.25,28,35.9829,1.2161060585630779
1.25,29,36.1903,1.2193866245474752
1.25,30,36.3729,1.2221907095367897
1.25,31,36.5125,1.2244948624641836
1.25,32,36.6264,1.2264047349926273
1.25,33,36.7143,1.2278628615021958
1.25,34,36.7877,1.229090746482754
1.25,35,36.8387,1.2299460265300937
1.25,36,36.8785,1.2306327265798842
1.25,37,36.911,1.2311743246065419
1.25,38,36.9312,1.231530434032905
1.25,39,36.9498,1.2318988351310054
1.25,40,36.9648,1.232194400243209
1.25,41,36.9705,1.2322996835548068
1.25,42,36.98,1.2325183606544456
1.25,43,36.9816,1.2325541211411348
1.25,44,36.9818,1.2325533694845348
1.25,45,36.9822,1.2325525120720116
1.25,46,36.9821,1.232552645687477
1.25,47,36.9824,1.232552406316529
1.25,48,36.9826,1.2325525158616841
1.25,49,36.984,1.2325593110764146
1.3,0,1.0,0.0
1.3,1,1.2909,0.029435285168114333
1.3,2,1.6812,0.05079132120072116
1.3,3,2.1887,0.07621970882030871
1.3,4,2.8474,0.10778887962873229
1.3,5,3.7019,0.148497031599109
1.3,6,4.7996,0.20089064290056857
1.3,7,6.2162,0.2682115674421688
1.3,8,8.0589,0.3530540594775706
1.3,9,10.3535,0.4528062763826348
1.3,10,13.2327,0.5709676167810116
1.3,11,16.5712,0.6939198715196309
1.3,12,20.1735,0.809163064461746
1.3,13,23.6671,0.9073420338852145
1.3,14,26.9307,0.9879532423648669
1.3,15,29.8959,1.0532528739677787
1.3,16,32.4112,1.1030155581874084
1.3,17,34.5094,1.141265789533307
1.3,18,36.2405,1.1716887928636979
1.3,19,37.5969,1.1935551428289202
1.3,20,38.6555,1.2102781762933574
1.3,21,39.5048,1.22296121368651
1.3,22,40.1462,1.2328140852324978
1.3,23,40.6275,1.240134012986573
1.3,24,40.9935,1.245495923439499
1.3,25,41.2401,1.2489986867545255
1.3,26,41.4244,1.2513566148781123
1.3,27,41.5615,1.253181278706009
1.3,28,41.6741,1.2549193697061725
1.3,29,41.7593,1.2560235922807834
1.3,30,41.8173,1.2567837085203095
1.3,31,41.8631,1.2574206589864758
1.3,32,41.8917,1.257763541348595
1.3,33,41.9236,1.2580716759828405
1.3,34,41.9503,1.2584126026102638
1.3,35,41.9707,1.2587134147632355
1.3,36,41.99,1.2590241801965618
1.3,37,41.997,1.2591059372387008
1.3,38,42.0045,1.2591650306676456
1.3,39,42.0122,1.2592495395949257
1.3,40,42.0203,1.2594043935827344
1.3,41,42.0219,1.2594218136876023
1.3,42,42.0223,1.2594247065418145
1.3,43,42.0265,1.2594801781208957
1.3,44,42.0275,1.2594771611541304
1.3,45,42.0296,1.2594907998962057
1.3,46,42.0307,1.2594998695542614
1.3,47,42.0323,1.2595558920219077
1.3,48,42.0325,1.2595525173094728
1.3,49,42.0332,1.2595423649067286
1.35,0,1.0,0.0
1.35,1,1.3554,0.029809488828382857
1.35,2,1.8358,0.05327695765882501
1.35,3,2.4788,0.08291750388737862
1.35,4,3.3499,0.12037219916942377
1.35,5,4.5516,0.173604660676002
