lambda,turn,seedPopulation,error
1.25,47,36.698,3.8922568950915206
1.25,48,36.698,3.8922568950915206
1.25,49,36.698,3.8922568950915206
1.3,0,1.0,0.0
1.3,1,1.29,0.0935809811002637
1.3,2,1.646,0.15610214152350688
1.3,3,2.086,0.2283150349301808
1.3,4,2.818,0.3309602472489419
1.3,5,3.658,0.4597190449487667
1.3,6,4.628,0.6154109358625321
1.3,7,6.099,0.8406253522444986
1.3,8,8.106,1.1477473501664726
1.3,9,10.443,1.466935921373718
1.3,10,13.435,1.8705412317000665
1.3,11,16.941,2.3004643673211884
1.3,12,20.228,2.623342748751824
1.3,13,23.34,2.890822369126628
1.3,14,26.535,3.129776523640075
1.3,15,29.197,3.3195316870628133
1.3,16,31.656,3.483397179785957
1.3,17,33.656,3.602630101094867
1.3,18,35.275,3.695913284649258
1.3,19,36.503,3.7626509680735722
1.3,20,37.487,3.8091349727795816
1.3,21,38.301,3.851537910661996
1.3,22,38.904,3.884368340386331
1.3,23,39.398,3.909458589620435
1.3,24,39.729,3.9271637572408906
1.3,25,39.913,3.9342362359721363
1.3,26,40.019,3.9354681709332553
1.3,27,40.12,3.9365680491682227
1.3,28,40.285,3.9413873249390363
1.3,29,40.414,3.9472687699919433
1.3,30,40.526,3.9545039877073904
1.3,31,40.612,3.958394697958852
1.3,32,40.665,3.9598923295446795
1.3,33,40.704,3.962056188415204
1.3,34,40.761,3.9664859803284642
1.3,35,40.761,3.9664859803284642
1.3,36,40.761,3.9664859803284642
1.3,37,40.761,3.9664859803284642
1.3,38,40.761,3.9664859803284642
1.3,39,40.761,3.9664859803284642
1.3,40,40.761,3.9664859803284642
1.3,41,40.761,3.9664859803284642
1.3,42,40.761,3.9664859803284642
1.3,43,40.761,3.9664859803284642
1.3,44,40.761,3.9664859803284642
1.3,45,40.761,3.9664859803284642
1.3,46,40.761,3.9664859803284642
1.3,47,40.761,3.9664859803284642
1.3,48,40.761,3.9664859803284642
1.3,49,40.761,3.9664859803284642
1.35,0,1.0,0.0
1.35,1,1.341,0.09797362387771935
1.35,2,1.892,0.17931798084354722
1.35,3,2.645,0.27822503979997837
1.35,4,3.683,0.4173361070036594
1.35,5,4.867,0.5746196070468388
1.35,6,6.81,0.8310309584590909
1.35,7,9.304,1.1773021743076608
1.35,8,12.538,1.5706023991756108
1.35,9,16.458,2.008047264573378
1.35,10,21.086,2.469811471537458
1.35,11,25.787,2.851166863944229
1.35,12,30.219,3.1772298870903413
1.35,13,34.247,3.4285033009647137
1.35,14,37.551,3.602524879699608
1.35,15,40.078,3.7254826757492907
1.35,16,42.032,3.817440708218328
1.35,17,43.638,3.879981312564304
1.35,18,44.708,3.9196664044790595
1.35,19,45.518,3.946997358583374
1.35,20,46.142,3.9689591546131524
1.35,21,46.539,3.9791273010330386
1.35,22,46.962,3.992176912115035
1.35,23,47.272,4.005832820104473
1.35,24,47.449,4.013204382735829
1.35,25,47.567,4.016023957588047
1.35,26,47.672,4.021411912217012
1.35,27,47.706,4.022392775667761
1.35,28,47.731,4.023665217785499
1.35,29,47.762,4.02513477138104
1.35,30,47.769,4.025685521297696
1.35,31,47.769,4.025685521297696
1.35,32,47.769,4.025685521297696
1.35,33,47.769,4.025685521297696
1.35,34,47.769,4.025685521297696
1.35,35,47.769,4.025685521297696
1.35,36,47.769,4.025685521297696
1.35,37,47.769,4.025685521297696
1.35,38,47.769,4.025685521297696
1.35,39,47.769,4.025685521297696
1.35,40,47.769,4.025685521297696
1.35,41,47.769,4.025685521297696
1.35,42,47.769,4.025685521297696
1.35,43,47.769,4.025685521297696
1.35,44,47.769,4.025685521297696
1.35,45,47.769,4.025685521297696
1.35,46,47.769,4.025685521297696
1.35,47,47.769,4.025685521297696
1.35,48,47.769,4.025685521297696
1.35,49,47.769,4.025685521297696
1.4,0,1.0,0.0
